field_1,관리기관명,소재지도로,소재지지번,설치목적구,카메라대수,카메라화소,촬영방면정,보관일수,설치년월,관리기관전,위도,경도,데이터기준,제공기관코,제공기관명,시설종류,대상시설명,소재지도로_2,소재지지번_2,위도_2,경도_2,관리기관명_2,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준_2,제공기관코_2,제공기관명_2,옐로카펫_,보호구역_
29721,서울특별시 종로구청,서울특별시 종로구 사직로5길 9-1,서울특별시 종로구 사직동 280-1,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5742724,126.9654649,2019/09/18,3000000,서울특별시 종로구,특수학교,수도사랑의학교,서울특별시 종로구 사직로7길17,서울특별시 종로구 사직동 262-57,37.574721,126.965217,종로구청,종로경찰서,Y,1.0,12,2019/01/14,3000000,서울특별시 종로구,0,6
29722,서울특별시 종로구청,서울특별시 종로구 사직로5길 29,서울특별시 종로구 사직동 287,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5742478,126.9651313,2019/09/18,3000000,서울특별시 종로구,특수학교,수도사랑의학교,서울특별시 종로구 사직로7길17,서울특별시 종로구 사직동 262-57,37.574721,126.965217,종로구청,종로경찰서,Y,1.0,12,2019/01/14,3000000,서울특별시 종로구,0,6
29707,서울특별시 종로구청,서울특별시 종로구 자하문로8길 9,서울특별시 종로구 통의동 98,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5787299,126.9720862,2019/09/18,3000000,서울특별시 종로구,어린이집,서울청사한빛어린이집,서울특별시 종로구 효자로39,서울특별시 종로구 창성동 117-6,37.5797195,126.973221,종로구청,종로경찰서,Y,1.0,12,2019/01/14,3000000,서울특별시 종로구,0,12
29708,서울특별시 종로구청,서울특별시 종로구 효자로7길 20,서울특별시 종로구 통의동 28-2,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5785356,126.97304890000002,2019/09/18,3000000,서울특별시 종로구,어린이집,서울청사한빛어린이집,서울특별시 종로구 효자로39,서울특별시 종로구 창성동 117-6,37.5797195,126.973221,종로구청,종로경찰서,Y,1.0,12,2019/01/14,3000000,서울특별시 종로구,0,12
29710,서울특별시 종로구청,서울특별시 종로구 자하문로5가길 18,서울특별시 종로구 체부동 23-2,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5783024,126.97079350000001,2019/09/18,3000000,서울특별시 종로구,어린이집,서울청사한빛어린이집,서울특별시 종로구 효자로39,서울특별시 종로구 창성동 117-6,37.5797195,126.973221,종로구청,종로경찰서,Y,1.0,12,2019/01/14,3000000,서울특별시 종로구,0,12
29873,서울특별시 종로구청,서울특별시 종로구 세검정로 209-16,"서울특별시 종로구 홍지동 36-25, 건물 앞",생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.599542,126.9560793,2019/09/18,3000000,서울특별시 종로구,초등학교,상명대부속초등학교,서울특별시 종로구 홍지문2길1,서울특별시 종로구 홍지동 7,37.6005802,126.956708,종로구청,종로경찰서,Y,1.0,6~12,2019/01/14,3000000,서울특별시 종로구,2016-11-10,10
30929,서울특별시 종로구청,서울특별시 종로구 평창11길 20,"서울특별시 종로구 평창동 352-4, 건물 근처",생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.607137,126.9662296,2019/09/18,3000000,서울특별시 종로구,어린이집,생명숲어린이집,서울특별시 종로구 평창문화로 73-7,서울특별시 종로구 평창동 186-18,37.606437,126.968167,종로구청,종로경찰서,Y,1.0,10~15,2019/01/14,3000000,서울특별시 종로구,0,15
29705,서울특별시 종로구청,서울특별시 종로구 필운대로1길 32,"서울특별시 종로구 필운동 44, 배화여고 정문 앞",생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5778381,126.967776,2019/09/18,3000000,서울특별시 종로구,초등학교,매동초등학교,서울특별시 종로구 사직로9길19,서울특별시 종로구 필운동 32,37.5772345,126.9668504,종로구청,종로경찰서,Y,3.0,6~12,2019/01/14,3000000,서울특별시 종로구,0,97
29728,서울특별시 종로구청,서울특별시 종로구 자하문로9길 29,서울특별시 종로구 누하동 217,생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.5793104,126.969523,2019/09/18,3000000,서울특별시 종로구,어린이집,누상어린이집,서울특별시 종로구 옥인길 23-4,서울특별시 종로구 누상동 54,37.580716,126.967169,종로구청,종로경찰서,Y,2.0,6,2019/01/14,3000000,서울특별시 종로구,0,13
29738,서울특별시 종로구청,서울특별시 종로구 필운대로5나길 26,서울특별시 종로구 누상동 80,생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.5800428,126.9670403,2019/09/18,3000000,서울특별시 종로구,어린이집,누상어린이집,서울특별시 종로구 옥인길 23-4,서울특별시 종로구 누상동 54,37.580716,126.967169,종로구청,종로경찰서,Y,2.0,6,2019/01/14,3000000,서울특별시 종로구,0,13
