,일자,군구,유동인구수
414,20190317,관악구,9900500
415,20190317,강북구,5969090
416,20190317,성북구,8138980
417,20190317,광진구,7127880
418,20190317,마포구,7816160
419,20190317,서초구,8825180
420,20190317,은평구,8396820
421,20190317,강서구,10677170
422,20190317,용산구,4968340
423,20190317,강남구,11606740
424,20190317,동작구,7570770
425,20190318,양천구,7433030
426,20190318,종로구,5987680
427,20190318,중랑구,6792200
428,20190318,강동구,7586640
429,20190318,성동구,6317610
430,20190318,송파구,12041550
431,20190318,영등포구,9915190
432,20190318,노원구,9274030
433,20190318,금천구,5672130
434,20190318,도봉구,5479660
435,20190318,서대문구,6245450
436,20190318,구로구,8505520
437,20190318,동대문구,7114530
438,20190318,중구,6701240
439,20190318,관악구,9138920
440,20190318,강북구,5468900
441,20190318,성북구,8015530
442,20190318,광진구,6780750
443,20190318,마포구,8241330
444,20190318,서초구,10560750
445,20190318,은평구,7576170
446,20190318,강서구,10296660
447,20190318,용산구,5224310
448,20190318,강남구,15181640
449,20190318,동작구,7514830
450,20190319,양천구,7369250
451,20190319,종로구,6151620
452,20190319,중랑구,6718250
453,20190319,강동구,7555020
454,20190319,성동구,6326820
455,20190319,송파구,11982900
456,20190319,영등포구,9928560
457,20190319,노원구,9231020
458,20190319,금천구,5612760
459,20190319,도봉구,5420930
460,20190319,서대문구,6297960
461,20190319,구로구,8478040
462,20190319,동대문구,7101260
463,20190319,중구,6814050
464,20190319,관악구,9057250
465,20190319,강북구,5403520
466,20190319,성북구,8038870
467,20190319,광진구,6749200
468,20190319,마포구,8308380
469,20190319,서초구,10693620
470,20190319,은평구,7509670
471,20190319,강서구,10219190
472,20190319,용산구,5285110
473,20190319,강남구,15408620
474,20190319,동작구,7518780
475,20190320,양천구,7422510
476,20190320,종로구,6050020
477,20190320,중랑구,6738510
478,20190320,강동구,7587590
479,20190320,성동구,6325170
480,20190320,송파구,12006220
481,20190320,영등포구,9929730
482,20190320,노원구,9253880
483,20190320,금천구,5608450
484,20190320,도봉구,5452770
485,20190320,서대문구,6301570
486,20190320,구로구,8489840
487,20190320,동대문구,7120290
488,20190320,중구,6723230
489,20190320,관악구,9107580
490,20190320,강북구,5425890
491,20190320,성북구,8095620
492,20190320,광진구,6776720
493,20190320,마포구,8276890
494,20190320,서초구,10684130
495,20190320,은평구,7558470
496,20190320,강서구,10283070
497,20190320,용산구,5292790
498,20190320,강남구,15386760
499,20190320,동작구,7547700
500,20190321,양천구,7395890
501,20190321,종로구,6140950
502,20190321,중랑구,6762200
503,20190321,강동구,7568490
504,20190321,성동구,6322130
505,20190321,송파구,12027430
506,20190321,영등포구,9950390
507,20190321,노원구,9227430
508,20190321,금천구,5615520
509,20190321,도봉구,5432270
510,20190321,서대문구,6303350
511,20190321,구로구,8475270
512,20190321,동대문구,7105440
513,20190321,중구,6826410
514,20190321,관악구,9105660
515,20190321,강북구,5418730
516,20190321,성북구,8055760
517,20190321,광진구,6767790
518,20190321,마포구,8331240
519,20190321,서초구,10718900
520,20190321,은평구,7537530
521,20190321,강서구,10282810
522,20190321,용산구,5309020
523,20190321,강남구,15470140
524,20190321,동작구,7501810
525,20190322,양천구,7429540
526,20190322,종로구,6108510
527,20190322,중랑구,6750960
528,20190322,강동구,7611690
529,20190322,성동구,6285600
530,20190322,송파구,12130140
531,20190322,영등포구,9989700
532,20190322,노원구,9174480
533,20190322,금천구,5567720
534,20190322,도봉구,5415780
535,20190322,서대문구,6196850
536,20190322,구로구,8448870
537,20190322,동대문구,7023220
538,20190322,중구,6794030
539,20190322,관악구,9079210
540,20190322,강북구,5441670
541,20190322,성북구,7902790
542,20190322,광진구,6764460
543,20190322,마포구,8434610
544,20190322,서초구,10832970
545,20190322,은평구,7529800
