발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,field_1,관리기관명,소재지도로,소재지지번,설치목적구,카메라대수,카메라화소,촬영방면정,보관일수,설치년월,관리기관전,위도_2,경도_2,데이터기준,제공기관코,제공기관명,시설종류,대상시설명,소재지도_1,소재지지_1,위도_2_2,경도_2_2,관리기관_1,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기_1,제공기관_1,제공기관_2,옐로카펫_,보호구역_
"2019","2019013018",야,수,"1","0","0","0","0",서울,양천구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,941204.000000000000000,1948103.000000000000000,126.834546500000002,37.530364030000001,"13179",서울특별시 양천구청,서울특별시 양천구 곰달래로10길 9,서울특별시 양천구 신월동 229-3,생활방범,"5",200.000000000000000,360도 전방,30.000000000000000,"200812",02-2620-4793,37.529113000000002,126.836733000000024,2019/11/20,"3140000",서울특별시 양천구,어린이집,곰달래어린이집,서울특별시 양천구 남부순환로65길 2,서울특별시 양천구 신월1동 217-1,37.527704700000001,126.834014999999994,서울특별시 양천구청,양천경찰서,Y,2.000000000000000,"6",2020/06/01,"3140000",서울특별시 양천구,"0","8"
"2019","2019013018",야,수,"1","0","0","0","0",서울,양천구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,941204.000000000000000,1948103.000000000000000,126.834546500000002,37.530364030000001,"12993",서울특별시 양천구청,서울특별시 양천구 월정로19길 13,서울특별시 양천구 신월동 233-1,어린이보호,"5",200.000000000000000,360도 전방,30.000000000000000,"201012",02-2620-4793,37.528925999999998,126.837341999999992,2019/11/20,"3140000",서울특별시 양천구,어린이집,세진어린이집,서울특별시 양천구 곰달래로 28,서울특별시 양천구 신월1동 226-7,37.529701500000002,126.835746000000000,서울특별시 양천구청,양천경찰서,Y,3.000000000000000,"7",2020/06/01,"3140000",서울특별시 양천구,"0","8"
"2019","2019050401",야,토,"1","2","0","2","0",서울,양천구,차대차,추돌,추돌,과속,교차로,교차로부근,승용차,화물차,941066.000000000000000,1946411.000000000000000,126.833120500000007,37.515105190000000,"13169",서울특별시 양천구청,서울특별시 양천구 지양로3길 3,서울특별시 양천구 신월동 986-16,생활방범,"3",200.000000000000000,360도 전방,30.000000000000000,"200912",02-2620-4793,37.518615999999994,126.836652999999998,2019/11/20,"3140000",서울특별시 양천구,어린이집,양문어린이집,서울특별시 양천구 신월로 109,서울특별시 양천구 신월7동 982-21,37.516214200000007,126.835966999999997,서울특별시 양천구청,양천경찰서,Y,0.000000000000000,"20",2020/06/01,"3140000",서울특별시 양천구,"0","10"
"2019","2019040704",야,일,"1","0","0","0","0",서울,양천구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,943307.000000000000000,1947948.000000000000000,126.858358899999999,37.529098720000000,"14057",서울특별시 양천구청,서울특별시 양천구 목동로25길 29-1,서울특별시 양천구 신정동 891-14,생활방범,"1",200.000000000000000,360도 전방,30.000000000000000,"200612",02-2620-4793,37.528170000000003,126.860687999999982,2019/11/20,"3140000",서울특별시 양천구,어린이집,으뜸어린이집,서울특별시 양천구 신정중앙로 911-6,서울특별시 양천구 신정4동 911-6,37.526814000000002,126.858315999999988,서울특별시 양천구청,양천경찰서,Y,1.000000000000000,"14",2020/06/01,"3140000",서울특별시 양천구,"0","10"
"2019","2019040116",주,월,"1","0","0","0","0",서울,양천구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,자전거,보행자,943060.000000000000000,1946808.000000000000000,126.855651899999998,37.518808610000001,"14066",서울특별시 양천구청,서울특별시 양천구 중앙로36길 16-1,서울특별시 양천구 신정동 1049-1,생활방범,"4",200.000000000000000,360도 전방,30.000000000000000,"200612",02-2620-4793,37.519421000000001,126.855888999999991,2019/11/20,"3140000",서울특별시 양천구,어린이집,해바라기어린이집,서울특별시 양천구 목동동로1길 33,서울특별시 양천구 신정1동 310-11,37.517160629999999,126.856553000000005,서울특별시 양천구청,양천경찰서,Y,1.000000000000000,"7",2020/06/01,"3140000",서울특별시 양천구,"0","10"
"2019","2019040704",야,일,"1","0","0","0","0",서울,양천구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,943307.000000000000000,1947948.000000000000000,126.858358899999999,37.529098720000000,"14093",서울특별시 양천구청,서울특별시 양천구 국회대로8길 12,서울특별시 양천구 신정동 894-22,생활방범,"3",200.000000000000000,360도 전방,30.000000000000000,"201012",02-2620-4793,37.528480000000002,126.861883000000006,2019/11/20,"3140000",서울특별시 양천구,어린이집,어깨동무어린이집,서울특별시 양천구 신정중앙로21길 38,서울특별시 양천구 신정4동 884-19,37.527431999999997,126.859115999999986,서울특별시 양천구청,양천경찰서,Y,3.000000000000000,"5",2020/06/01,"3140000",서울특별시 양천구,"0","11"
"2019","2019013018",야,수,"1","0","0","0","0",서울,양천구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,941204.000000000000000,1948103.000000000000000,126.834546500000002,37.530364030000001,"13206",서울특별시 양천구청,서울특별시 양천구 곰달래로5길 33,서울특별시 양천구 신월동 133-6,생활방범,"4",130.000000000000000,360도 전방,30.000000000000000,"201012",02-2620-4793,37.532371000000012,126.833095999999998,2019/11/20,"3140000",서울특별시 양천구,학원,리틀플래닛학원,서울특별시 양천구 곰달래로9길 12,서울특별시 양천구 신월1동 121-1,37.530900969999998,126.835840099999999,서울특별시 양천구청,양천경찰서,Y,2.000000000000000,"6",2020/06/01,"3140000",서울특별시 양천구,"0","0"
"2019","2019031319",야,수,"1","0","0","0","0",서울,성동구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,958555.000000000000000,1951579.000000000000000,127.030721600000007,37.562637490000000,"28834",서울특별시 성동구청,서울특별시 성동구 무학봉길 86,서울특별시 성동구 무학봉길 86,쓰레기단속,"1",200.000000000000000,하단부,30.000000000000000,"201807",02-2286-5879,37.561709999999998,127.031631000000004,2020/06/08,"3030000",서울특별시 성동구,어린이집,구립왕십리하나어린이집,서울특별시 성동구 무학봉16길 9-3,서울특별시 성동구 하왕십리동 976-13,37.560836999999999,127.032032099999995,서울특별시 성동구,성동경찰서,Y,1.000000000000000,"7",2020/06/17,"3030000",서울특별시 성동구,"0","10"
"2019","2019050113",주,수,"1","0","0","0","0",서울,성동구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,승용차,보행자,960015.000000000000000,1951910.000000000000000,127.047234500000002,37.565685440000003,"38694",서울특별시 성동구청,서울특별시 성동구 마조로14가길 28 (마장동),서울특별시 성동구 마장동 361-2,쓰레기단속,"1",200.000000000000000,하단부,30.000000000000000,"201601",02-2286-5879,37.564551999999999,127.043815999999993,2020/06/08,"3030000",서울특별시 성동구,어린이집,마장어린이집,서울특별시 성동구 마장로44길 10,서울특별시 성동구 마장동 780,37.566426000000000,127.045579300000000,서울특별시 성동구,성동경찰서,Y,1.000000000000000,"24",2020/06/17,"3030000",서울특별시 성동구,"0","97"
"2019","2019011604",야,수,"1","0","0","0","0",서울,성동구,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,957987.000000000000000,1949576.000000000000000,127.024405099999996,37.544558170000002,"28827",서울특별시 성동구청,서울특별시 성동구 독서당로 285-1,서울특별시 성동구 독서당로 285-1,쓰레기단속,"3",200.000000000000000,360도 전방면,30.000000000000000,"201807",02-2286-5879,37.547909000000004,127.020949999999999,2020/06/08,"3030000",서울특별시 성동구,유치원,옥수병설유치원,서울특별시 성동구 금호로1길 25,서울특별시 성동구 금호동4가 440-12,37.545529930000001,127.021871200000007,서울특별시 성동구,성동경찰서,Y,1.000000000000000,4~13,2020/06/17,"3030000",서울특별시 성동구,"0","97"
