,연번,시도,지자체,설치위치(학교),설치일자,재원,구분,사업주체기관,유지보수일자,비고,학교이름,주소
215,571,서울특별시,중랑구,봉화초등학교,2017-11-09,DB손해보험,어린이재단,서울남부지역본부,,,봉화초등학교,서울 중랑구 신내로15길 110
216,572,서울특별시,종로구,명신초등학교,2017-11-09,DB손해보험,어린이재단,서울남부지역본부,,,명신초등학교,서울 종로구 낙산길 250
217,575,서울특별시,관악구,원신초등학교,2017-11-09,DB손해보험,어린이재단,서울남부지역본부,,,원신초등학교,서울 관악구 광신길 177
218,576,서울특별시,관악구,난향초등학교,2017-11-09,DB손해보험,어린이재단,서울남부지역본부,,,난향초등학교,서울 관악구 난향길 9
219,577,서울특별시,관악구,신봉초등학교,2017-11-10,DB손해보험,어린이재단,서울남부지역본부,,,신봉초등학교,서울 관악구 양녕로6나길 1
220,578,서울특별시,중랑구,신현초등학교,2017-11-10,DB손해보험,어린이재단,서울남부지역본부,2018-11-13,"DB손해보험, 서울남부지역본부",신현초등학교,서울 중랑구 봉화산로 188
221,595,서울특별시,강서구,염동초등학교,2017-11-15,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,2018-11-02,"DB손해보험, 서울남부지역본부",염동초등학교,서울 강서구 양천로73길 17
222,596,서울특별시,서초구,서일초등학교,2017-11-15,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,서일초등학교,서울 서초구 남부순환로339길 38
223,597,서울특별시,노원구,녹천초등학교,2017-11-15,DB손해보험,어린이재단,서울남부지역본부,,,녹천초등학교,서울 노원구 마들로3길 34
224,601,서울특별시,강서구,월정초등학교(A),2017-11-15,한국공항공사,어린이재단,서울지역본부,,,월정초등학교,서울 강서구 월정로 176
225,602,서울특별시,강서구,월정초등학교(B),2017-11-15,한국공항공사,어린이재단,서울지역본부,,,월정초등학교,서울 강서구 월정로 176
226,607,서울특별시,구로구,고산초등학교(보수),2017-11-16,한국공항공사,어린이재단,서울지역본부,2018-09-30,,고산초등학교,서울 구로구 중앙로 6
227,608,서울특별시,양천구,강서초등학교(B),2017-11-16,한국공항공사,어린이재단,서울지역본부,2018-09-30,,강서초등학교,서울 양천구 오목로 31
228,624,서울특별시,강서구,공항초등학교(A),2017-11-20,한국공항공사,어린이재단,서울지역본부,,,공항초등학교,서울 강서구 마곡서1로 68
229,625,서울특별시,강서구,공항초등학교(B),2017-11-20,한국공항공사,어린이재단,서울지역본부,,,공항초등학교,서울 강서구 마곡서1로 68
230,642,서울특별시,노원구,덕암초등학교,2017-11-29,DB손해보험,어린이재단,서울남부지역본부,,,덕암초등학교,서울 노원구 덕릉로112길 68
231,660,서울특별시,성동구,금북초등학교,2017-12-12,이마트,어린이재단,서울북부지역본부,,,금북초등학교,서울 성동구 행당로1길 13
232,661,서울특별시,성동구,금옥초등학교,2017-12-12,이마트,어린이재단,서울북부지역본부,,,금옥초등학교,서울 성동구 독서당로 251
233,662,서울특별시,성동구,마장초등학교(A),2017-12-12,이마트,어린이재단,서울북부지역본부,,,마장초등학교,서울 성동구 마장로35나길 31
234,663,서울특별시,성동구,옥수초등학교,2017-12-12,이마트,어린이재단,서울북부지역본부,,,옥수초등학교,서울 성동구 금호로1길 25
235,701,서울특별시,성북구,미아초등학교,2018-04-07,삼성카드 열린나눔,국제아동인권센터,국제아동인권센터,,,미아초등학교,서울 성북구 삼양로 77
236,703,서울특별시,은평구,상신초등학교(B),2018-04-19,이마트,어린이재단,서울북부지역본부,,,상신초등학교,서울 은평구 가좌로 361
237,704,서울특별시,성동구,경수초등학교,2018-04-26,이마트,어린이재단,서울북부지역본부,,,경수초등학교,서울 성동구 뚝섬로13길 22
238,705,서울특별시,성동구,성수초등학교,2018-04-26,이마트,어린이재단,서울북부지역본부,,,성수초등학교,서울 성동구 아차산로17길 21
239,706,서울특별시,성동구,무학초등학교,2018-04-26,이마트,어린이재단,서울북부지역본부,,,무학초등학교,서울 성동구 무학봉15길 21
