사고번호,사고일시,요일,시군구,X,Y,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 8월 22일 18시,목요일,서울특별시 강서구 화곡동,126.84727,37.540704,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,미분류,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,보행자,여,11세,경상
2.02E+15,2019년 8월 23일 14시,금요일,서울특별시 광진구 군자동,127.073667,37.553041,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,36세,상해없음,보행자,남,7세,경상
2.02E+15,2019년 8월 26일 04시,월요일,서울특별시 강북구 미아동,127.023876,37.62111,중상사고,0,1,3,0,차대차 - 측면충돌,과속,포장 - 건조,맑음,단일로 - 기타,이륜,남,16세,중상,승용,여,42세,경상
2.02E+15,2019년 8월 28일 18시,수요일,서울특별시 강북구 수유동,127.007369,37.638335,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,자전거,여,8세,경상,이륜,남,58세,상해없음
2.02E+15,2019년 8월 31일 19시,토요일,서울특별시 용산구 후암동,126.980623,37.549905,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,66세,상해없음,보행자,남,12세,경상
2.02E+15,2019년 9월 6일 15시,금요일,서울특별시 강북구 미아동,127.023876,37.62111,경상사고,0,0,1,0,차대사람 - 기타,미분류,포장 - 건조,흐림,단일로 - 기타,승용,남,68세,상해없음,보행자,남,9세,경상
2.02E+15,2019년 9월 6일 15시,금요일,서울특별시 구로구 오류동,126.838594,37.491666,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,68세,상해없음,보행자,남,10세,경상
2.02E+15,2019년 9월 9일 18시,월요일,서울특별시 송파구 삼전동,127.091886,37.501904,경상사고,0,0,1,0,차대사람 - 기타,미분류,포장 - 건조,맑음,기타 - 기타,이륜,남,49세,상해없음,보행자,남,5세,경상
2.02E+15,2019년 9월 11일 14시,수요일,서울특별시 동작구 신대방동,126.917182,37.492683,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,58세,상해없음,보행자,남,7세,경상
2.02E+15,2019년 9월 11일 21시,수요일,서울특별시 도봉구 창동,127.044061,37.647747,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,포장 - 기타,맑음,교차로 - 교차로안,자전거,남,12세,상해없음,이륜,남,30세,중상
2.02E+15,2019년 9월 18일 16시,수요일,서울특별시 강동구 강일동,127.173375,37.567441,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,남,52세,상해없음,보행자,여,6세,중상
2.02E+15,2019년 9월 20일 16시,금요일,서울특별시 성북구 동소문동4가,127.010649,37.591761,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,보행자,여,9세,경상
2.02E+15,2019년 9월 24일 17시,화요일,서울특별시 도봉구 쌍문동,127.027091,37.653366,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,17세,상해없음,보행자,여,12세,경상
2.02E+15,2019년 9월 25일 17시,수요일,서울특별시 성북구 석관동,127.061476,37.608269,중상사고,0,1,0,0,차대사람 - 차도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,30세,상해없음,보행자,남,11세,중상
2.02E+15,2019년 9월 26일 14시,목요일,서울특별시 송파구 석촌동,127.102508,37.502733,부상신고사고,0,0,0,1,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,39세,상해없음,보행자,남,8세,부상신고
2.02E+15,2019년 9월 28일 12시,토요일,서울특별시 양천구 신월동,126.834319,37.526611,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,8세,경상,승용,여,56세,상해없음
2.02E+15,2019년 10월 8일 18시,화요일,서울특별시 금천구 독산동,126.898294,37.467477,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,57세,상해없음,보행자,남,7세,중상
2.02E+15,2019년 10월 9일 16시,수요일,서울특별시 강서구 등촌동,126.8543,37.554567,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,원동기,남,27세,상해없음,보행자,남,9세,경상
2.02E+15,2019년 10월 12일 16시,토요일,서울특별시 광진구 구의동,127.092967,37.544415,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,남,6세,경상
2.02E+15,2019년 10월 15일 15시,화요일,서울특별시 성북구 삼선동3가,127.013061,37.586546,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,36세,상해없음,보행자,여,11세,경상
